Node=48050 Seq=99 -15,12,250 29.51 62.98 93.65 1776553923896 
Node=48050 Seq=100 -21,11,250 29.51 62.98 93.65 1776553924140 
Node=48050 Seq=101 -19,8,249 29.51 62.98 93.46 1776553924379 
Node=48050 Seq=102 -17,7,251 29.51 62.98 93.65 1776553924619 
Node=48050 Seq=103 -15,8,250 29.51 63.02 93.71 1776553924870 
Node=48050 Seq=104 -17,10,250 29.51 62.98 93.71 1776553925106 
Node=48050 Seq=105 -24,7,251 29.51 63.02 93.65 1776553925351 
Node=48050 Seq=106 -21,7,250 29.57 62.98 93.65 1776553925591 
Node=48050 Seq=107 -19,8,251 29.51 63.02 93.65 1776553925841 
Node=48050 Seq=108 -16,10,249 29.57 63.02 93.52 1776553926074 
Node=48050 Seq=109 -15,10,250 29.57 63.02 93.58 1776553926312 
Node=48050 Seq=110 -17,9,250 29.51 63.02 93.71 1776553926553 
Node=48050 Seq=111 -17,9,250 29.51 63.02 93.65 1776553926797 
Node=48050 Seq=112 -16,9,250 29.51 63.02 93.77 1776553927035 
Node=48050 Seq=113 -18,9,249 29.57 63.02 93.65 1776553927279 
Node=48050 Seq=114 -19,9,250 29.51 63.02 93.65 1776553927517 
Node=48050 Seq=115 -16,9,249 29.51 63.02 93.65 1776553927756 
Node=48050 Seq=116 -16,9,250 29.51 62.99 93.52 1776553928000 
Node=48050 Seq=117 -17,9,250 29.57 63.02 93.65 1776553928245 
Node=48050 Seq=118 -17,9,249 29.57 62.99 93.46 1776553928485 
Node=48050 Seq=119 -16,8,250 29.51 62.99 93.52 1776553928729 
Node=48050 Seq=120 -16,9,251 29.57 62.99 93.77 1776553928980 
Node=48050 Seq=121 -18,9,250 29.57 62.99 93.65 1776553929229 
Node=48050 Seq=122 -17,9,250 29.57 62.99 93.52 1776553929467 
Node=48050 Seq=123 -17,8,250 29.57 62.99 93.65 1776553929703 
Node=48050 Seq=124 -15,8,250 29.57 62.99 93.65 1776553929960 
Node=48050 Seq=125 -17,9,250 29.57 62.99 93.65 1776553930198 
Node=48050 Seq=126 -17,9,249 29.57 62.99 93.65 1776553930437 
Node=48050 Seq=127 -16,9,250 29.57 62.99 93.65 1776553930682 
Node=48050 Seq=128 -16,9,250 29.57 62.99 93.65 1776553930927 
Node=48050 Seq=129 -16,8,250 29.57 62.99 93.65 1776553931162 
Node=48050 Seq=130 -17,9,250 29.57 62.99 93.65 1776553931406 
Node=48050 Seq=131 -18,9,249 29.57 62.99 93.52 1776553931644 
Node=48050 Seq=132 -17,9,250 29.57 62.99 93.65 1776553931884 
Node=48050 Seq=133 -17,9,249 29.57 62.99 93.71 1776553932129 
Node=48050 Seq=134 -16,10,250 29.57 62.99 93.77 1776553932363 
Node=48050 Seq=135 -17,9,251 29.57 62.99 93.46 1776553932615 
Node=48050 Seq=136 -16,9,249 29.57 62.99 93.52 1776553932850 
Node=48050 Seq=137 -17,9,250 29.57 62.99 93.65 1776553933096 
Node=48050 Seq=138 -17,9,249 29.57 62.99 93.58 1776553933344 
Node=48050 Seq=139 -17,8,249 29.57 62.99 93.65 1776553933578 
Node=48050 Seq=140 -17,8,249 29.57 62.99 93.65 1776553933823 
Node=48050 Seq=141 -17,8,250 29.57 62.99 93.65 1776553934066 
Node=48050 Seq=142 -17,9,250 29.57 62.99 93.77 1776553934317 
Node=48050 Seq=143 -16,9,249 29.64 62.99 93.52 1776553934555 
Node=48050 Seq=144 -16,9,249 29.64 62.99 93.65 1776553934799 
Node=48050 Seq=145 -17,9,250 29.64 62.99 93.65 1776553935048 
Node=48050 Seq=146 -17,10,249 29.64 62.99 93.52 1776553935287 
Node=48050 Seq=147 -16,9,250 29.64 62.99 93.65 1776553935527 
Node=48050 Seq=148 -18,9,251 29.57 62.99 93.65 1776553935771 
Node=48050 Seq=149 -15,9,248 29.64 62.99 93.65 1776553936016 
Node=48050 Seq=150 -16,9,250 29.64 62.99 93.52 1776553936254 
Node=48050 Seq=151 -17,9,249 29.64 62.99 93.65 1776553936493 
Node=48050 Seq=152 -16,9,250 29.64 62.99 93.65 1776553936738 
Node=48050 Seq=153 -17,9,250 29.64 62.96 93.77 1776553936976 
Node=48050 Seq=154 -18,9,251 29.64 62.96 93.65 1776553937222 
Node=48050 Seq=155 -17,9,252 29.64 62.96 93.65 1776553937461 
Node=48050 Seq=156 -16,8,250 29.64 62.96 93.65 1776553937700 
Node=48050 Seq=157 -17,9,251 29.64 62.96 93.65 1776553937943 
Node=48050 Seq=158 -18,10,250 29.64 62.96 93.58 1776553938186 
Node=48050 Seq=159 -16,8,249 29.64 62.96 93.65 1776553938430 
Node=48050 Seq=160 -17,8,250 29.64 62.96 93.65 1776553938669 
Node=48050 Seq=161 -16,10,251 29.64 62.96 93.52 1776553938914 
Node=48050 Seq=162 -16,10,250 29.64 62.96 93.52 1776553939163 
Node=48050 Seq=163 -16,9,249 29.64 62.96 93.52 1776553939402 
Node=48050 Seq=164 -16,9,251 29.64 62.96 93.65 1776553939648 
Node=48050 Seq=165 -16,9,251 29.64 62.96 93.52 1776553939890 
Node=48050 Seq=166 -16,8,249 29.7 62.96 93.65 1776553940132 
Node=48050 Seq=167 -17,9,249 29.64 62.96 93.77 1776553940379 
Node=48050 Seq=168 -17,9,249 29.64 62.96 93.65 1776553940619 
Node=48050 Seq=169 -18,8,249 29.7 62.93 93.65 1776553940862 
Node=48050 Seq=170 -17,9,249 29.64 62.93 93.52 1776553941100 
Node=48050 Seq=171 -17,10,249 29.64 62.93 93.52 1776553941342 
Node=48050 Seq=172 -16,9,250 29.7 62.93 93.52 1776553941584 
Node=48050 Seq=173 -16,8,251 29.7 62.93 93.52 1776553941825 
Node=48050 Seq=174 -17,9,250 29.7 62.93 93.52 1776553942068 
